City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
176,la ligua,-32.4524,-71.2311,13.35,68,100,0.86,CL,1689287840
177,vorkuta,67.5,64.0,6.48,65,2,1.76,RU,1689287840
178,nilsia,63.2,28.0833,14.29,98,100,0.54,FI,1689287841
179,oriximina,-1.7656,-55.8661,26.7,75,86,0.68,BR,1689287841
180,beya,53.0533,90.9139,17.13,86,51,1.48,RU,1689287841
181,strugi-krasnyye,58.2675,29.1114,15.07,90,43,3.4,RU,1689287842
182,vadso,70.0744,29.7487,15.49,82,20,7.2,NO,1689287686
183,yarmouth,41.7057,-70.2286,27.56,83,0,5.66,US,1689287842
184,pemangkat,1.1667,108.9667,25.63,88,100,3.55,ID,1689287673
185,luderitz,-26.6481,15.1594,18.1,39,2,2.4,NA,1689287843
186,badger,64.8,-147.5333,23.32,40,75,2.57,US,1689287757
187,peace river,56.2501,-117.286,27.17,34,75,1.03,CA,1689287844
188,calvinia,-31.4707,19.776,10.64,46,3,3.77,ZA,1689287844
189,hovd,48.0056,91.6419,19.21,47,2,0.8,MN,1689287845
190,bandon,51.7469,-8.7425,13.77,95,100,3.34,IE,1689287845
191,salem,11.65,78.1667,23.83,90,100,1.11,IN,1689287727
192,gwadar,25.1216,62.3254,28.07,80,96,2.32,PK,1689287846
193,two rivers,44.1539,-87.5693,22.74,76,20,5.14,US,1689287846
194,tabina,7.4669,123.4081,26.3,84,94,1.72,PH,1689287846
195,marquette,46.5333,-87.6335,22.69,63,81,1.34,US,1689287847
196,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,94,75,4.0,RU,1689287847
197,colonia,50.9333,6.95,18.87,69,0,1.54,DE,1689287847
198,westport,41.1415,-73.3579,30.17,75,0,5.66,US,1689287847
199,afaahiti,-17.75,-149.2833,26.93,71,57,8.53,PF,1689287848
200,holmsund,63.706,20.3641,15.97,88,40,0.51,SE,1689287848
201,arta,39.1606,20.9853,23.8,67,0,0.8,GR,1689287848
202,udachny,66.4167,112.4,9.25,51,68,5.29,RU,1689287849
203,kigoma,-4.8769,29.6267,19.33,82,0,0.0,TZ,1689287849
204,murghob,38.1702,73.9667,12.03,39,1,1.62,TJ,1689287849
205,broken hill,-31.95,141.4333,9.46,58,0,4.35,AU,1689287849
206,tiksi,71.6872,128.8694,9.72,65,61,3.84,RU,1689287849
207,la peca,-5.6111,-78.435,24.94,65,44,2.13,PE,1689287850
208,souillac,-20.5167,57.5167,18.21,94,20,2.06,MU,1689287850
209,hadibu,12.65,54.0333,25.33,81,71,10.22,YE,1689287850
210,iwanai,42.9744,140.5089,19.46,95,100,1.3,JP,1689287850
211,ixtapa,20.7,-105.2,32.9,70,20,4.63,MX,1689287851
212,sathyamangalam,11.5167,77.25,25.44,78,97,0.6,IN,1689287851
213,santa sylvina,-27.8326,-61.1375,7.25,66,41,2.02,AR,1689287851
214,fortuna,40.5982,-124.1573,21.63,78,20,6.17,US,1689287820
215,nikolayevsk-on-amure,53.1406,140.73,23.97,44,3,1.68,RU,1689287852
216,tabas,33.5959,56.9244,29.77,27,0,3.11,IR,1689287852
217,gokwe,-18.2048,28.9349,9.48,67,9,4.82,ZW,1689287852
218,beaufort west,-32.3567,22.583,12.32,35,39,2.91,ZA,1689287853
219,karratha,-20.7377,116.8463,19.74,49,3,2.59,AU,1689287853
220,rimus,16.8764,120.3966,26.19,91,100,2.46,PH,1689287853
221,kayangel,8.0823,134.7173,27.66,81,100,5.55,PW,1689287853
222,sinabang,2.4803,96.3801,25.02,88,100,2.73,ID,1689287854
223,danielskuil,-28.1887,23.5395,6.54,40,44,2.95,ZA,1689287854
224,palikir - national government center,6.9248,158.1611,26.47,89,100,3.09,FM,1689287854
225,praia da vitoria,38.7333,-27.0667,22.09,88,75,5.0,PT,1689287854
226,hilo,19.7297,-155.09,31.82,75,40,3.6,US,1689287855
227,north battleford,52.7834,-108.2847,24.05,41,0,8.75,CA,1689287855
228,tromso,69.6496,18.957,17.01,77,0,1.03,NO,1689287855
229,gillette,44.2911,-105.5022,31.51,26,0,5.81,US,1689287855
230,castillos,-34.1667,-53.8333,9.89,74,100,6.04,UY,1689287856
231,iqaluit,63.7506,-68.5145,5.85,100,100,5.66,CA,1689287856
232,novyy turtkul',41.55,61.0167,22.95,30,0,3.75,UZ,1689287856
233,santa cruz,-17.8,-63.1667,16.7,63,100,7.72,BO,1689287572
234,qaqortoq,60.7167,-46.0333,6.6,80,100,2.72,GL,1689287856
235,guymon,36.6828,-101.4816,29.0,74,75,4.12,US,1689287857
236,iguala de la independencia,18.35,-99.5333,31.84,44,24,1.03,MX,1689287857
237,oamaru,-45.0784,170.9801,9.65,92,7,2.8,NZ,1689287652
238,malango,-2.9627,119.9001,19.65,97,99,0.44,ID,1689287857
239,kuching,1.55,110.3333,24.12,94,20,1.03,MY,1689287858
240,puerto baquerizo moreno,-0.9,-89.6,26.55,78,75,5.14,EC,1689287858
241,auki,-8.7676,160.7034,27.75,77,30,1.81,SB,1689287858
242,cadale,2.7603,46.3222,24.84,83,79,7.28,SO,1689287858
243,sumbawa besar,-8.5,117.4333,21.84,87,26,2.18,ID,1689287859
244,paradip garh,20.3167,86.6167,28.37,81,100,7.16,IN,1689287859
245,lent'ekhi,42.7856,42.7261,15.13,81,0,2.5,GE,1689287859
246,yumaguzino,52.9041,56.3933,11.26,94,96,2.2,RU,1689287859
247,saint-denis,48.9167,2.3333,20.08,64,0,1.54,FR,1689287860
248,mesquite,32.7668,-96.5992,41.11,49,0,5.14,US,1689287576
249,margate,51.3813,1.3862,15.39,86,89,2.24,GB,1689287860
250,sao felix do xingu,-6.6447,-51.995,27.01,59,58,0.34,BR,1689287860
251,tolanaro,-25.0319,46.9987,18.04,82,75,1.03,MG,1689287860
252,nar'yan-mar,67.6713,53.087,8.51,74,55,3.95,RU,1689287861
253,kamensk-ural'skiy,56.4185,61.9329,13.13,75,48,3.8,RU,1689287861
254,saint-joseph,-21.3667,55.6167,20.82,89,55,4.65,RE,1689287861
255,opuwo,-18.0607,13.84,10.62,32,3,1.61,NA,1689287861
256,katiola,8.1333,-5.1,24.35,96,91,3.04,CI,1689287862
257,bungo-takada-shi,33.5567,131.4451,26.99,81,100,1.37,JP,1689287862
258,ulsteinvik,62.3432,5.8487,13.84,93,100,4.02,NO,1689287862
259,polyarnyy,69.1989,33.4478,11.55,69,97,4.04,RU,1689287862
260,road town,18.4167,-64.6167,30.05,70,20,3.6,VG,1689287863
261,dryden,49.7833,-92.7503,16.16,72,100,5.14,CA,1689287863
262,chonchi,-42.6128,-73.8092,6.56,97,100,2.26,CL,1689287863
263,jaru,-10.4389,-62.4664,26.72,55,6,1.44,BR,1689287863
264,chimbarongo,-34.7,-71.05,9.49,82,100,1.3,CL,1689287863
265,kourou,5.1552,-52.6478,27.03,88,55,3.17,GF,1689287864
266,boa vista,2.8197,-60.6733,30.99,55,20,3.09,BR,1689287864
267,broome,42.2506,-75.833,26.22,88,100,3.09,US,1689287864
268,sao joao da barra,-21.6403,-41.0511,25.05,62,0,4.21,BR,1689287864
269,champerico,14.3,-91.9167,34.3,70,52,4.17,GT,1689287865
270,la passe,45.5549,-0.8967,17.23,84,32,2.38,FR,1689287865
271,happy valley-goose bay,53.3168,-60.3315,25.17,53,20,3.09,CA,1689287865
272,aldinga beach,-35.2793,138.4604,10.93,72,100,7.72,AU,1689287866
273,gizo,-8.103,156.8419,26.87,85,40,6.9,SB,1689287866
274,tazovsky,67.4667,78.7,4.83,74,11,2.42,RU,1689287866
275,abu tij,27.0441,31.319,29.08,18,6,5.01,EG,1689287866
276,el dovio,4.5079,-76.2362,19.14,95,71,2.41,CO,1689287867
277,taltal,-25.4,-70.4833,19.19,54,95,2.62,CL,1689287867
278,kendari,-3.945,122.4989,23.57,96,100,1.43,ID,1689287867
279,naze,28.3667,129.4833,28.51,83,93,6.94,JP,1689287869
280,erenhot,43.6475,111.9767,18.28,73,81,9.42,CN,1689287869
281,dukhan,25.4297,50.7858,32.11,63,61,5.33,QA,1689287869
282,la sarre,48.8002,-79.1996,15.94,85,100,2.22,CA,1689287869
283,bayanaul,50.7889,75.6956,23.78,42,41,2.95,KZ,1689287870
284,rosaryville,38.7568,-76.8097,33.9,48,0,5.66,US,1689287870
285,derecske,47.35,21.5667,21.05,73,0,2.57,HU,1689287870
